Id,GameId,GameSysname,ProviderId,Provider,ManufId,Manuf,TypeId,Type,Alias,CaptionEN,Category,Description,Credits,IsLive,IsMobile,IsJackpot,JackpotContr.,ProviderFee,IsBonusExcluded,UpdateMan,UpadateCaptionEN,UpadateCategory,UpdateCaption,UpdateMobile,UpdateType,UpdateBonusExcluded,
5479,8309,IF_5195,80,Iforium,19,IronDog,3,MOBILE,IF_3DBlackjack_Mobile,3D Blackjack,BlackJack,Table Games,10,0,1,0,0,0.11,1,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =19  WHERE id=5479,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = '3D Blackjack' WHERE id =5479,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'BlackJack' WHERE id =5479,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_3DBlackjack_Mobile' WHERE id =5479,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5479,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5479,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 1 WHERE id =5479,
5484,8338,IF_7103,80,Iforium,20,Realistic,12,NORMAL,IF_BeeFabPullTab,Bee Fab Pull Tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5484,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Bee Fab Pull Tab' WHERE id =5484,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5484,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_BeeFabPullTab' WHERE id =5484,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5484,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5484,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5484,
5485,8315,IF_7104,80,Iforium,20,Realistic,3,MOBILE,IF_BeeFabPullTab_Mobile,Bee Fab Pull Tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5485,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Bee Fab Pull Tab' WHERE id =5485,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5485,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_BeeFabPullTab_Mobile' WHERE id =5485,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5485,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5485,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5485,
5486,8316,IF_7105,80,Iforium,20,Realistic,12,NORMAL,IF_ItCamefromtheMoonPullTab,It Came from the Moon Pull Tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5486,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'It Came from the Moon Pull Tab' WHERE id =5486,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5486,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_ItCamefromtheMoonPullTab' WHERE id =5486,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5486,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5486,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5486,
5487,8317,IF_7106,80,Iforium,20,Realistic,3,MOBILE,IF_ItCamefromtheMoonPullTab_Mobile,It Came from the Moon Pull Tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5487,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'It Came from the Moon Pull Tab' WHERE id =5487,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5487,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_ItCamefromtheMoonPullTab_Mobile' WHERE id =5487,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5487,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5487,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5487,
5488,8318,IF_7107,80,Iforium,20,Realistic,12,NORMAL,IF_SunriseReelspulltab,Sunrise Reels pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5488,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Sunrise Reels pull tab' WHERE id =5488,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5488,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_SunriseReelspulltab' WHERE id =5488,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5488,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5488,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5488,
5489,8319,IF_7108,80,Iforium,20,Realistic,3,MOBILE,IF_SunriseReelspulltab_Mobile,Sunrise Reels pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5489,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Sunrise Reels pull tab' WHERE id =5489,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5489,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_SunriseReelspulltab_Mobile' WHERE id =5489,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5489,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5489,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5489,
5490,8320,IF_7109,80,Iforium,20,Realistic,12,NORMAL,IF_JackpotCherriespulltab,Jackpot Cherries pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5490,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Jackpot Cherries pull tab' WHERE id =5490,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5490,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_JackpotCherriespulltab' WHERE id =5490,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5490,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5490,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5490,
5491,8321,IF_7110,80,Iforium,20,Realistic,3,MOBILE,IF_JackpotCherriespulltab_Mobile,Jackpot Cherries pull tab,Slot,Scratch Cards,100,0,1,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5491,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Jackpot Cherries pull tab' WHERE id =5491,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5491,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_JackpotCherriespulltab_Mobile' WHERE id =5491,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 1 WHERE id =5491,UPDATE [dbo].[UserCasinoGames] SET Type = 3 WHERE id =5491,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5491,
5492,8322,IF_7111,80,Iforium,20,Realistic,12,NORMAL,IF_WinSprintpulltab,Win Sprint pull tab,Slot,Scratch Cards,100,0,0,0,0,0.12,0,UPDATE [dbo].[UserCasinoGames] SET [Manufacturer] =20  WHERE id=5492,UPDATE [dbo].[UserCasinoGames] SET [CaptionEN] = 'Win Sprint pull tab' WHERE id =5492,UPDATE [dbo].[UserCasinoGames] SET [Category] = 'Slot' WHERE id =5492,UPDATE [dbo].[UserCasinoGames] SET [Caption] = 'IF_WinSprintpulltab' WHERE id =5492,UPDATE [dbo].[UserCasinoGames] SET IsMobile = 0 WHERE id =5492,UPDATE [dbo].[UserCasinoGames] SET Type = 12 WHERE id =5492,UPDATE [dbo].[UserCasinoGames] SET IsBonusExcluded = 0 WHERE id =5492,
